"","id","name","host_id"
"304",699991,"Friendly ap. near centre Amsterdam",3557630
"305",700797,"Museum Suite, near Leidse Square",3595270
"306",700993,"Lovely apartment South A'dam (RAI)",3586216
"307",702120,"Comfortable apartment near city centre",3505991
"308",702894,"Cozy and light in Bos en Lommer, 96 m²",3607736
"309",703616,"Oud West Vondelpark Centre Jordaan",3123495
"310",703716,"Appartment 5 min from Vondelpark & Roofterrace!!!",3051231
"311",705423,"luxe apartment in amsterdam city",3397629
"312",705509,"Amsterdam Sweet Unit Museumplein",3648704
"313",705935,"Unique spacious family home in the Jordaan",3517912
"314",708528,"Independent Studio in 'De Pijp'",3644216
"315",711952,"Cozy Spacious Clean Stylish Quiet in Lively Pijp",3656864
"316",713557,"Light apartment in Old-West nearby the Vondelpark",3672783
"317",713715,"Warm & Romantic apt in De Jordaan",3673389
"318",714243,"Cozy houseboat near Vondelpark!",3678493
"319",714884,"Sunny, Elegant, Spacious apartment in the Centre",3681248
"320",716107,"Loft style home nearby city centre",3689867
"321",716781,"Cozy app. @ Vondelpark (Oud-Zuid)",1725014
"322",719623,"Canal house right in the Jordaan (center)",3713242
"323",721291,"Sunny apt great location free bikes",3723928
"324",721897,"Spacious and cozy apartment close to Westerpark",3727363
"325",724346,"Luxury design appt - Centre De Pijp",3744541
"326",728144,"Beautiful loft in center Amsterdam",3775786
"327",728145,"Superb loft apartment in de Pijp!",1902079
"328",728713,"Fantastic studio Amsterdam Centr",3781782
"329",729260,"Great location modern apartment",3788198
"330",729317,"Suite 2 Stay - studio Beautiful Barok - canal area",3788673
"331",730916,"Bed & Breakfast in Oud West Area",3267693
"332",730965,"Cosy apartment in upcoming Oost!",2460974
"333",731834,"Bright Design Apt | Artful Stay",965667
"334",733654,"FAMILY HOME WITH SUNNY PRIVATE GARDEN IN CENTER",3823268
"335",734886,"Roof Terrace Apartm w. parking",232321
"336",740003,"Fantastic apartment in Amsterdam's best area",3872261
"337",740616,"Private Room at our LoveNest in Amsterdam",3846003
"338",740995,"Love Nest for rent in the center!!!",3846003
"339",741043,"Modern  stylish villa: My Amsterdam Houseboat",3877342
"340",741398,"Cosy/Creative/Canal Apt for 2/3 p",3880042
"341",742160,"Sailing ship Amsterdam center",1582128
"342",742634,"Best Deal, City Center!!",3888452
"343",744158,"Kiki's Loft Apartment",3899684
"344",744386,"Kiki's Garden View Apartment 01",3899684
"345",744520,"Kiki's Garden View Apartment 02",3899684
"346",744574,"Kiki's Penthouse Apartment",3899684
"347",744659,"Private luxury B&B near Amstel",3518386
"348",746067,"beautiful apartment in canal house",3713242
"349",746807,"Spacious apt in great neighbourhood",3482922
"350",747847,"nice cozy room near Vondelpark",3548522
"351",754020,"Spacious Sunny Apartment - 4p",3966326
"352",754524,"Beautiful apartment with big garden",3970623
"353",754613,"Canal house - Heart of Amsterdam",3970753
"354",755431,"A special spot near the Jordaan ideal for two",3975477
"355",755982,"Bright & Cosy Canal View Apartment",17507481
"356",758475,"Central apartment 50m2, Old West Jordaan.",1387938
"357",758600,"Luxurious, Spacious and light 130m2",3997123
"358",759060,"Spacious delightful Canalhouse",4000086
"359",759299,"beautiful spacious appartment near Vondelpark",3548522
"360",759402,"Spacious design apt. | Centre A'dam",4002861
"361",760074,"Nice Apartment 50m2, East Side!",3661217
"362",760599,"Private guest apartment on a shared boat",4009374
"363",761411,"40% discount A'dam Apartment - Clean Quiet Safe",4013546
"364",767326,"Great room in Amsterdam near Centre",3914844
"365",768274,"LOFT at Canal : special fall-break & ADE price!",3678216
"366",768737,"Room, brandnew luxurious houseboat",3877342
"367",770281,"Fantastic 100m2 apartment. Top loca",4063638
"368",771217,"Lovely Amsterdam Houseboat",4068486
"369",771343,"City Centre Room with En-Suite Shower and Terrace",2313061
"370",771758,"Nice and Cozy Room Offered in Amsterdam",195859
"371",772511,"Charming monument in the Jordaan",4075972
"372",774714,"Jordaan, the Heart of Amsterdam",2924870
"373",775655,"the Boathouse bed&bike A'dam centre",4091515
"374",776288,"Amsterdam Studio Garden Museumplein",3648704
"375",778820,"Spacious, bright and comfortable",4106698
"376",779175,"Sleep on board of our ship in North Amsterdam",3357851
"377",779297,"Lovely apartment near city centre",4109239
"378",780674,"Beautiful apartment in city centre",4117326
"379",780873,"Design apartment nearby the Amstel",4117053
"380",781253,"9-STREETS apartment in A'dam Wolvenstraat",4120466
"381",782254,"Apartment for FAMILIES in city center | 4P",4125951
"382",784277,"Lovely Cozy Place in De Baarsjes!",3161745
"383",784644,"Great apartment Oud West close to foodhallen***",4074819
"384",785432,"Amsterdam Houseboat 'Centre'",2586026
"385",787331,"Cozy design apartment in Amsterdam!",4150161
"386",789630,"apartment near center Amsterdam",711884
"387",789743,"Groundfloor Lofty Apt | Artful Stay",965667
"388",791621,"Gorgeous Apartment near Vondelpark",3042726
"389",793499,"Spacious apartment in trendy Baarsjes (2 - 4 pers)",4180511
"390",793845,"Knus en gezellig appartement",3826985
"391",794322,"Romantic Houseboat in the center",4184910
"392",794927,"NEW! cozy and private Amsterdam studio for two",4188143
"393",798189,"PERFECT LOCATION FOR TNW",4203731
"394",798941,"Luxurious apartment 72m2 in Pijp",4207199
"395",800723,"mediterranean ambiance appartment",4215174
"396",801544,"Charlie + Coco's Apartment",1657181
"397",802052,"Sleeping in a unique ship in the center of A'dam!",4221960
"398",807269,"Stylish Loft with a Balcony - Couples retreat",3742898
"399",809026,"Boss",336950
"400",810730,"Spacious, modern loft in historic city centre",3449505
"401",817058,"The Best 2-Floor CANAL Apartment!",4291496
"402",817716,"Modern apt with canal and park view",4294992
"403",818079,"Authentic houseboat with privacy and comfort",4296919
"404",818085,"La Vie En Rose B&B Amsterdam Center large Suite 2",3788898
"405",818881,"CANAL  APTM. WITH GARDEN IN CENTRE",4297337
"406",820692,"Cosy apartment next to Dam Square",673543
"407",823448,"Stylish apartment for 4 persons with large garden",4323295
"408",829306,"Very charming home and lush garden!",4346522
"409",833641,"Apt & Garden in the Pijp near RAI",4312792
"410",833975,"Spacious, bright apartment near RAI",4363352
"411",834156,"180m2 Loft in former Monastry with garden @Pijp",4364112
"412",834233,"B&B Mondriaan, bright and modern studio",4364462
"413",835550,"Spacious Apt in the Rivierenbuurt",4119336
"414",835627,"Occasional availability Centre Apt",3054367
"415",840346,"Very cosy apt at top location",551716
"416",840628,"Spacious apartment 60m2 for couple!",3557914
"417",842774,"Spacious apartment! Great location!",437989
"418",846458,"Large charming house A'dam centre",4419885
"419",847093,"Lovely apartment @Vondelpark for families",4663170
"420",847730,"Bright "" feel good"" apartment",4426149
"421",849993,"Central design apt in pretty street",4438302
"422",851044,"HOUSEBOAT NOVA 80m2 + FREE BIKES",4443833
"423",853645,"Perfect location bright cosy appt!",4398387
"424",854328,"Lovely top 2 floors. Canal view. 3 bedr. 2 bathr.",1347048
"425",862411,"Fancy apartment heart of Amsterdam",4520552
"426",862432,"Apartment in city centre (Jordaan)",4520718
"427",863877,"Beautiful apartment in city centre",2620478
"428",865328,"Sunny apartment Amsterdam Zuid behind Museumsquare",4543444
"429",866523,"luxurious double room apartment",4552493
"430",870225,"Spacious apartment in 'Pijp' area",1118702
"431",870342,"*Comfortable apartment close to city center*",1314991
"432",874057,"Bright apt in center with canal view and king bed!",4592706
"433",874076,"The Weavery Boutique Bed&Breakfast2",4614541
"434",874315,"Private, quiet room in old center",4615516
"435",874340,"The Room Upstairs - Free parking",4615590
"436",874688,"5 BR apartment / Quiet / Garden",4585922
"437",877702,"The Weavery Boutique Bed&Breakfast1",4614541
"438",879986,"Spacious room with private bathroom",3332206
"439",881558,"Big room (& big bathroom) in canalhouse",4663978
"440",884070,"ArtPark B&B",4682226
"441",886192,"Luxurious and spacious mobile home",4698057
