id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,MagicRating
27535114,Private room in modern city apt!,207704401,Ivan,NA,De Baarsjes - Oud-West,52.36324,4.85382,Private room,65,2,45,2020-03-18,1.59,1,0,Low
27539424,Apartment located at the city centre of Amsterdam,158045285,Sif,NA,Centrum-West,52.37344,4.89588,Private room,80,3,0,NA,NA,1,0,Low
27544310,Beautiful and spacious Apartment in Amsterdam,183670964,Gil,NA,Buitenveldert - Zuidas,52.3287,4.87187,Entire home/apt,160,2,1,2020-01-01,0.09,1,0,High
27545924,Cosy apartment de Pijp/Rivierenbuurt,4876786,Lisa,NA,De Pijp - Rivierenbuurt,52.34756,4.90373,Entire home/apt,180,3,0,NA,NA,1,0,High
27546543,Lovely rooftop terrace apartment near Vondelpark,38154410,Tim En Leonie,NA,De Baarsjes - Oud-West,52.36132,4.86601,Entire home/apt,200,3,16,2020-09-15,0.58,1,0,High
27546826,"Welcome to my cosy, spacious, plant-filled home",2068431,Iris,NA,Bos en Lommer,52.38486,4.85076,Entire home/apt,100,2,14,2019-08-25,0.5,1,0,Low
27547247,Amsterdam room in house on 1st floor,6201677,Yardeen,NA,IJburg - Zeeburgereiland,52.35219,5.01044,Private room,75,1,0,NA,NA,2,365,Low
27563313,Cosy room in East Amsterdam,20818241,Thalia,NA,Oud-Oost,52.35503,4.91236,Private room,80,4,23,2020-02-09,1.53,1,0,Low
27565202,Beautiful & clean apartment near the Museumsquare,79666655,Marjolijn,NA,Zuid,52.35816,4.87895,Hotel room,135,5,45,2020-10-31,1.61,1,63,High
27565537,PrivУЉkamer met ontbijt en gebruik van fietsen,207977510,Margreet,NA,Westerpark,52.38266,4.86201,Private room,60,2,63,2020-12-07,2.34,1,136,Low
27566540,The Lux at Leidse Square 3th Floor,178187873,Marcel And Pauline,NA,Centrum-Oost,52.36478,4.88033,Entire home/apt,125,7,12,2020-10-15,0.46,25,180,Low
27569750,Cozy and quite room in Amsterdam Zuid,70048505,Valentina,NA,Buitenveldert - Zuidas,52.32932,4.86871,Private room,50,70,0,NA,NA,1,0,Low
27588936,Bright studio apartment in the city centre,24321969,EsmУЉe,NA,Centrum-Oost,52.36848,4.92804,Entire home/apt,85,4,2,2018-11-19,0.08,1,0,Low
27590549,Spacious Amsterdam family house + yard & parking,8162073,Cnaan,NA,Noord-West,52.41491,4.8843,Entire home/apt,80,3,7,2020-07-09,0.35,1,0,Low
27591911,Beautiful appartment nearby the city centre,55023707,Michaela,NA,Bos en Lommer,52.38209,4.85761,Entire home/apt,125,1,5,2019-09-30,0.29,1,0,Low
27595911,Anny's warehouse city centre!,115770966,Anny,NA,Centrum-West,52.3777,4.89464,Hotel room,63,2,8,2020-09-13,0.38,1,0,Low
27600742,Single bedroom with private sink,138583516,Tjibbe,NA,Bos en Lommer,52.38106,4.85301,Private room,47,2,37,2020-03-08,1.33,2,0,Low
27601894,Nice modern Apartment close to RAI fair center,49007744,Emile,NA,De Pijp - Rivierenbuurt,52.34016,4.89431,Entire home/apt,185,3,3,2018-10-01,0.11,2,0,High
27602107,Luxury loft in city centre,42350347,Pieter,NA,De Pijp - Rivierenbuurt,52.3534,4.89113,Entire home/apt,131,3,0,NA,NA,1,365,High
27602112,Cozy appartement in Amsterdam with balcony,207083204,Evert,NA,Oud-Oost,52.35846,4.91399,Entire home/apt,135,2,13,2018-10-22,0.46,2,0,High
27608003,Sunny apartment in Amsterdam north with garden,61134256,Maartje,NA,Noord-West,52.40145,4.91362,Entire home/apt,115,3,11,2020-08-10,0.4,1,0,Low
27616092,ENTIRE Modern Two Room Condo with a Rooftop view,44330453,Evgeny,NA,Oud-Noord,52.40066,4.91313,Entire home/apt,115,3,13,2019-08-12,0.47,1,0,Low
27616752,Amsterdam centrum authentiek mooie etage woning,208400229,Martien,NA,Westerpark,52.38208,4.87954,Entire home/apt,160,3,16,2019-10-24,0.6,1,180,High
27619422,"Quiet room, 25 minutes from City Center.",169552278,Vlad & Marina,NA,Bijlmer-Oost,52.31904,4.9833,Private room,65,3,29,2019-12-01,1.03,2,0,Low
27620348,Appartement in de Jordaan,22118096,"Jeroen, Simone & Zoe",NA,Centrum-West,52.37928,4.88348,Entire home/apt,225,2,15,2019-04-17,0.56,1,71,High
27622005,Boss Apartment,31951648,Tijmen,NA,De Baarsjes - Oud-West,52.36622,4.87711,Entire home/apt,200,2,12,2020-08-01,0.62,1,0,High
27623245,"Apartment near  'De Pijp', 'RAI' and Center",60332438,Marvin,NA,De Pijp - Rivierenbuurt,52.34468,4.89621,Entire home/apt,139,2,1,2018-08-23,0.04,2,0,High
27626313,Bright room with ideal transport connections,4252277,Hellen,NA,Slotervaart,52.3542,4.83129,Private room,50,2,13,2019-07-14,0.48,2,0,Low
27626687,"Amsterdam, Family Apartment",208473942,Sanneke,NA,De Pijp - Rivierenbuurt,52.34775,4.90067,Entire home/apt,140,5,0,NA,NA,1,0,High
27629065,Cozy and bright studio,153085319,Esther,NA,De Baarsjes - Oud-West,52.36623,4.8773,Entire home/apt,89,2,6,2019-09-02,0.34,1,0,Low
27632311,Cosy Home with Private Spacious Garden | AMS WEST,65859990,Martijn,NA,Westerpark,52.38575,4.87413,Entire home/apt,251,2,12,2020-02-23,0.43,81,0,High
27642271,Spacious Treasure in Central Amsterdam,15768481,Adrienn,NA,Westerpark,52.37568,4.86871,Entire home/apt,180,3,3,2020-01-01,0.11,1,363,High
27644379,Cosy & quiet 2 pers. apartment close to Canals <3,12147206,Pieter,NA,De Baarsjes - Oud-West,52.36791,4.87425,Entire home/apt,130,2,14,2019-07-21,0.54,1,0,High
27646040,Charming & sunny apartment in hip Amsterdam East!,9284799,Pol,NA,Oostelijk Havengebied - Indische Buurt,52.36307,4.93913,Entire home/apt,115,2,2,2019-08-25,0.12,1,71,Low
27651153,Lovely apartment with a balcony in 'De Baarsjes',44097416,Salka,NA,De Baarsjes - Oud-West,52.37264,4.85409,Entire home/apt,100,1,11,2019-03-18,0.39,1,0,Low
27653760,Light appartment in 'De Baarsjes'- Amsterdam-West,60960917,Jurriaan,NA,De Baarsjes - Oud-West,52.37133,4.85253,Entire home/apt,110,1,12,2020-03-15,0.43,1,0,Low
27655570,Private apartment near Vondelpark,79254829,Mark,NA,De Baarsjes - Oud-West,52.3619,4.86501,Entire home/apt,120,5,5,2018-11-05,0.18,1,0,Low
27667014,"SPACIOUS,LIGHT (FAMILY) APP. WITH ROOF TERRACE!",268824,Florentine & Lars,NA,De Baarsjes - Oud-West,52.3752,4.86354,Entire home/apt,200,2,4,2019-05-05,0.15,1,0,High
27667280,Amsterdam-West apartment,61282081,Fleur,NA,Westerpark,52.38124,4.86949,Entire home/apt,129,1,12,2020-01-02,0.43,1,0,High
27671023,One bedroom in three bedroom Amsterdam apartment,193664722,Ben,NA,Centrum-West,52.37437,4.8935,Private room,90,2,1,2018-08-19,0.04,1,0,Low
27671233,Modern and bright apartment next to Foodhallen,21476604,Willemijn,NA,De Baarsjes - Oud-West,52.36736,4.8677,Entire home/apt,130,2,3,2018-11-11,0.11,1,0,High
27676793,Cosy bedroom with canal view at an edge of Jordaan,99993522,Maria,NA,Westerpark,52.38706,4.88197,Private room,60,1,52,2020-09-28,1.9,2,256,Low
27677715,Charming house with sunny garden in city centre,6437689,Sharon & Martin,NA,De Pijp - Rivierenbuurt,52.34611,4.89716,Entire home/apt,230,3,3,2019-09-18,0.11,1,71,High
